,lr,Width,Training Loss,type
31,0.0013810679320049755,256,3.644018001311148,muP
32,0.0013810679320049755,512,3.3938523324516914,muP
33,0.0013810679320049755,1024,3.235778020850072,muP
34,0.0013810679320049755,2048,3.1378060382169983,muP
35,0.0013810679320049755,4096,3.0571290436200798,muP
36,0.001953125,128,3.923447100853082,muP
37,0.001953125,256,3.60524432494172,muP
38,0.001953125,512,3.3287913604290225,muP
39,0.001953125,1024,3.163253001461271,muP
40,0.001953125,2048,3.0544204736943357,muP
41,0.001953125,4096,2.9660682294052094,muP
42,0.0027621358640099515,128,3.8867481908140085,muP
43,0.0027621358640099515,256,3.5572925330294916,muP
44,0.0027621358640099515,512,3.282209889808049,muP
45,0.0027621358640099515,1024,3.1148051121272147,muP
46,0.0027621358640099515,2048,2.991179386464258,muP
47,0.0027621358640099515,4096,2.909220557737475,muP
48,0.00390625,128,3.8817039873683825,muP
49,0.00390625,256,3.522304421656632,muP
50,0.00390625,512,3.260886538249906,muP
51,0.00390625,1024,3.0931586336228065,muP
52,0.00390625,2048,2.971990827471018,muP
53,0.00390625,4096,2.8836349198245443,muP
54,0.005524271728019903,128,3.8669441213520863,muP
55,0.005524271728019903,256,3.5129726595478132,muP
56,0.005524271728019903,512,3.2530165356583893,muP
57,0.005524271728019903,1024,3.086793680054446,muP
58,0.005524271728019903,2048,2.971010187330345,muP
59,0.005524271728019903,4096,2.8864533385882774,muP
60,0.0078125,128,3.8503887691767886,muP
61,0.0078125,256,3.506480220006779,muP
62,0.0078125,512,3.254234543594066,muP
63,0.0078125,1024,3.098723385366611,muP
64,0.0078125,2048,2.984461146988906,muP
65,0.0078125,4096,2.8994238801533356,muP
66,0.011048543456039806,128,3.8905033374515674,muP
67,0.011048543456039806,256,3.5585141079888367,muP
68,0.011048543456039806,512,3.2872005784884095,muP
69,0.011048543456039806,1024,3.168248071335256,muP
70,0.011048543456039806,2048,3.020738128107041,muP
71,0.011048543456039806,4096,2.959270137905454,muP
72,0.015625,128,4.051031996845268,muP
73,0.015625,256,3.6083916291993643,muP
74,0.015625,512,3.3940167854889296,muP
75,0.015625,1024,3.2898816849919967,muP
76,0.015625,2048,3.232651404628996,muP
77,0.015625,4096,3.130319123971276,muP
78,0.02209708691207961,128,4.126222871243954,muP
79,0.02209708691207961,256,3.930578319937922,muP
80,0.02209708691207961,512,3.900146149409314,muP
81,0.02209708691207961,1024,3.80251491550977,muP
82,0.02209708691207961,2048,3.54320697983106,muP
83,0.02209708691207961,4096,3.4592901793463775,muP
84,0.03125,128,4.442946522380225,muP
85,0.03125,256,4.190396434228335,muP
86,0.03125,512,4.079403288837057,muP
87,0.03125,1024,4.055668885819614,muP
88,0.03125,2048,3.9273019288666546,muP
89,0.03125,4096,3.739794143941254,muP
90,0.04419417382415922,4096,4.138470703503117,muP
91,0.125,128,5.1069725363825755,muP
92,0.125,256,4.744982287908594,muP
93,0.125,512,4.981528195242087,muP
94,0.125,1024,4.6333954548463225,muP
95,0.125,2048,4.910989684984088,muP
96,0.1767766952966369,128,5.465414202151199,muP
97,0.1767766952966369,256,4.965916425610582,muP
98,0.1767766952966369,512,4.878497635014355,muP
99,0.1767766952966369,1024,5.0724888204907375,muP
100,0.1767766952966369,2048,5.167737893449764,muP
