,model_type,lr,Training Loss,Training Step,id,type
1,u-µP,2.8284271247461903,3.1483603043016046,4351,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.1099466218147427,4607,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.0706571063492447,4863,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.0666703192982823,5119,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,3.0405234990175813,5375,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.996804502559826,5631,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.9789172438904643,5887,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.942005799850449,6143,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.921853809384629,6399,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.902822364587337,6655,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.9026072521228343,6911,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.8773490160238,7167,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.862466938327998,7423,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.8362700364086777,7679,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.841461431235075,7935,c0p2c5xn,FP8
1,u-µP,2.8284271247461903,2.83984555141069,8191,c0p2c5xn,FP8
2,µP,0.005524271728019903,10.38290548324585,0,g4obof1e,FP32
2,µP,0.005524271728019903,6.672263767205033,255,g4obof1e,FP32
2,µP,0.005524271728019903,4.593120364937931,511,g4obof1e,FP32
2,µP,0.005524271728019903,4.180605892557651,767,g4obof1e,FP32
2,µP,0.005524271728019903,3.9122304040938616,1023,g4obof1e,FP32
2,µP,0.005524271728019903,3.808782065520063,1279,g4obof1e,FP32
2,µP,0.005524271728019903,3.7152087409049273,1535,g4obof1e,FP32
2,µP,0.005524271728019903,3.632476427592337,1791,g4obof1e,FP32
2,µP,0.005524271728019903,3.585166817996651,2047,g4obof1e,FP32
2,µP,0.005524271728019903,3.531550296815112,2303,g4obof1e,FP32
2,µP,0.005524271728019903,3.4686994603835046,2559,g4obof1e,FP32
2,µP,0.005524271728019903,3.408079533604905,2815,g4obof1e,FP32
2,µP,0.005524271728019903,3.3715705203358084,3071,g4obof1e,FP32
2,µP,0.005524271728019903,3.348199991043657,3327,g4obof1e,FP32
2,µP,0.005524271728019903,3.2680587416980416,3583,g4obof1e,FP32
2,µP,0.005524271728019903,3.2327976832166314,3839,g4obof1e,FP32
2,µP,0.005524271728019903,3.212837526574731,4095,g4obof1e,FP32
2,µP,0.005524271728019903,3.180649279616773,4351,g4obof1e,FP32
2,µP,0.005524271728019903,3.1430204024072737,4607,g4obof1e,FP32
2,µP,0.005524271728019903,3.10575516987592,4863,g4obof1e,FP32
2,µP,0.005524271728019903,3.1012612187769264,5119,g4obof1e,FP32
2,µP,0.005524271728019903,3.077192325145006,5375,g4obof1e,FP32
2,µP,0.005524271728019903,3.0368545814417303,5631,g4obof1e,FP32
2,µP,0.005524271728019903,3.020630562445149,5887,g4obof1e,FP32
2,µP,0.005524271728019903,2.987023027613759,6143,g4obof1e,FP32
2,µP,0.005524271728019903,2.9692363233771175,6399,g4obof1e,FP32
2,µP,0.005524271728019903,2.951652620919049,6655,g4obof1e,FP32
2,µP,0.005524271728019903,2.954841811908409,6911,g4obof1e,FP32
2,µP,0.005524271728019903,2.9319876986555755,7167,g4obof1e,FP32
2,µP,0.005524271728019903,2.918674044078216,7423,g4obof1e,FP32
2,µP,0.005524271728019903,2.8947238749824464,7679,g4obof1e,FP32
2,µP,0.005524271728019903,2.90076972451061,7935,g4obof1e,FP32
2,µP,0.005524271728019903,2.900502294767648,8191,g4obof1e,FP32
3,µP,0.005524271728019903,10.39142084121704,0,hbfmnhk5,FP8
3,µP,0.005524271728019903,9.345455434743096,255,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.461644743103534,511,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.528563696425408,767,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.181965455412865,1023,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.384393426589668,1279,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.501430194824934,1535,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.6264240113087,1791,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.772270138841122,2047,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.885712993796915,2303,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.870614030398428,2559,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.67671132273972,2815,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.677241059951484,3071,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.656142024789005,3327,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.583062552381307,3583,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.493288480211049,3839,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.513106478843838,4095,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.543006237596273,4351,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.455217014532536,4607,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.289872836787254,4863,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.227362275123596,5119,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.166155017446727,5375,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.117808083537966,5631,hbfmnhk5,FP8
3,µP,0.005524271728019903,7.043215153273195,5887,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.975043692160398,6143,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.939134183339775,6399,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.899678184185177,6655,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.865458129439503,6911,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.840275634545833,7167,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.790944733191282,7423,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.76919258153066,7679,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.749480960890651,7935,hbfmnhk5,FP8
3,µP,0.005524271728019903,6.74551506806165,8191,hbfmnhk5,FP8
